neighbourhood,city,neighbourhood-level
Charlestown,Boston,1
South Boston,Boston,1
Allston-Brighton,Boston,4
Allston-Brighton,Boston,1
Back Bay,Boston,1
Jamaica Plain,Boston,4
Allston-Brighton,Boston,3
Mission Hill,Boston,4
Allston-Brighton,Boston,4
Allston-Brighton,Boston,4
Dorchester,Boston,3
North End,Boston,4
South Boston,Boston,4
Financial District,Boston,1
Jamaica Plain,Boston,3
West End,Boston,1
Allston-Brighton,Boston,1
Fenway/Kenmore,Boston,4
Back Bay,Boston,4
South End,Boston,4
South End,Boston,4
Back Bay,Boston,4
North End,Boston,4
Back Bay,Boston,4
Dorchester,Boston,1
Jamaica Plain,Boston,4
Dorchester,Boston,4
Allston-Brighton,Boston,1
Allston-Brighton,Boston,4
South End,Boston,4
Roslindale,Boston,3
Dorchester,Boston,4
Back Bay,Boston,4
South End,Boston,1
Roslindale,Boston,3
South Boston,Boston,4
Fenway/Kenmore,Boston,1
Mattapan,Boston,4
Charlestown,Boston,4
Dorchester,Boston,4
Back Bay,Boston,4
Jamaica Plain,Boston,4
East Boston,Boston,4
East Boston,Boston,3
Fenway/Kenmore,Boston,4
Allston-Brighton,Boston,4
Downtown,Boston,4
South End,Boston,4
South End,Boston,4
South Boston,Boston,1
Roslindale,Boston,4
Financial District,Boston,4
Hyde Park,Boston,4
North End,Boston,1
Financial District,Boston,1
Jamaica Plain,Boston,4
South End,Boston,4
Back Bay,Boston,4
North End,Boston,4
Roxbury,Boston,4
Hyde Park,Boston,4
South End,Boston,1
Back Bay,Boston,4
South End,Boston,4
East Boston,Boston,4
Jamaica Plain,Boston,3
Roxbury,Boston,4
Roxbury,Boston,2
Allston-Brighton,Boston,4
East Boston,Boston,4
Financial District,Boston,4
Chestnut Hill,Boston,3
Mattapan,Boston,2
Allston-Brighton,Boston,1
Fenway/Kenmore,Boston,1
Dorchester,Boston,3
Fenway/Kenmore,Boston,4
West Roxbury,Boston,4
Allston-Brighton,Boston,1
Roxbury,Boston,3
Roxbury,Boston,3
Jamaica Plain,Boston,4
South Boston,Boston,4
Allston-Brighton,Boston,1
Chinatown,Boston,1
Roslindale,Boston,4
Allston-Brighton,Boston,4
South End,Boston,1
Roxbury,Boston,4
Allston-Brighton,Boston,2
Back Bay,Boston,4
North End,Boston,4
Fenway/Kenmore,Boston,1
South End,Boston,1
Back Bay,Boston,1
Back Bay,Boston,4
Dorchester,Boston,3
Charlestown,Boston,4
East Boston,Boston,1
South End,Boston,4
Allston-Brighton,Boston,1
South End,Boston,4
Allston-Brighton,Boston,1
Allston-Brighton,Boston,4
Fenway/Kenmore,Boston,4
Mission Hill,Boston,4
East Boston,Boston,4
Roxbury,Boston,3
Fenway/Kenmore,Boston,3
Roxbury,Boston,4
Allston-Brighton,Boston,4
Allston-Brighton,Boston,4
Jamaica Plain,Boston,4
Allston-Brighton,Boston,4
South Boston,Boston,4
South Boston,Boston,4
Dorchester,Boston,3
Back Bay,Boston,4
Back Bay,Boston,4
South Boston,Boston,1
Fenway/Kenmore,Boston,4
Beacon Hill,Boston,4
Beacon Hill,Boston,4
Allston-Brighton,Boston,4
Jamaica Plain,Boston,4
Allston-Brighton,Boston,4
Dorchester,Boston,4
Allston-Brighton,Boston,4
Back Bay,Boston,1
South Boston,Boston,1
North End,Boston,1
Mission Hill,Boston,1
Beacon Hill,Boston,1
Dorchester,Boston,4
South Boston,Boston,1
South End,Boston,4
Roslindale,Boston,4
Allston-Brighton,Boston,2
Allston-Brighton,Boston,4
North End,Boston,4
Roxbury,Boston,4
Mission Hill,Boston,4
Charlestown,Boston,1
West Roxbury,Boston,1
Allston-Brighton,Boston,1
South End,Boston,4
South End,Boston,4
South Boston,Boston,4
South End,Boston,4
Roslindale,Boston,4
Dorchester,Boston,1
Chinatown,Boston,4
West Roxbury,Boston,4
Back Bay,Boston,4
Dorchester,Boston,2
Allston-Brighton,Boston,4
South Boston,Boston,1
Jamaica Plain,Boston,1
Allston-Brighton,Boston,3
South End,Boston,1
Beacon Hill,Boston,4
Back Bay,Boston,4
South Boston,Boston,4
Beacon Hill,Boston,4
North End,Boston,4
Beacon Hill,Boston,4
Back Bay,Boston,1
Roxbury,Boston,1
Beacon Hill,Boston,4
Charlestown,Boston,4
Back Bay,Boston,4
South Boston,Boston,1
West Roxbury,Boston,2
North End,Boston,4
West Roxbury,Boston,3
Dorchester,Boston,1
Charlestown,Boston,4
Allston-Brighton,Boston,1
Allston-Brighton,Boston,4
Roslindale,Boston,3
Roslindale,Boston,4
Fenway/Kenmore,Boston,3
Dorchester,Boston,1
Dorchester,Boston,1
Mission Hill,Boston,3
Fenway/Kenmore,Boston,4
Back Bay,Boston,4
Allston-Brighton,Boston,2
Back Bay,Boston,4
Jamaica Plain,Boston,4
Jamaica Plain,Boston,4
Back Bay,Boston,4
Jamaica Plain,Boston,3
Back Bay,Boston,4
East Boston,Boston,4
Fenway/Kenmore,Boston,4
Allston-Brighton,Boston,4
Back Bay,Boston,4
Back Bay,Boston,1
East Boston,Boston,3
East Boston,Boston,3
Allston-Brighton,Boston,3
South End,Boston,1
Dorchester,Boston,1
East Boston,Boston,4
West End,Boston,4
North End,Boston,1
Fenway/Kenmore,Boston,1
Back Bay,Boston,1
Roslindale,Boston,1
South End,Boston,4
East Boston,Boston,1
Fenway/Kenmore,Boston,4
Dorchester,Boston,4
Roslindale,Boston,3
Jamaica Plain,Boston,1
Allston-Brighton,Boston,1
Jamaica Plain,Boston,4
Jamaica Plain,Boston,1
Charlestown,Boston,4
South End,Boston,4
Fenway/Kenmore,Boston,4
Roxbury,Boston,4
East Boston,Boston,4
Chinatown,Boston,1
Fenway/Kenmore,Boston,4
Back Bay,Boston,2
Roxbury,Boston,4
East Boston,Boston,4
Fenway/Kenmore,Boston,4
Back Bay,Boston,4
South Boston,Boston,4
South End,Boston,1
Chinatown,Boston,1
Fenway/Kenmore,Boston,4
North End,Boston,4
North End,Boston,1
Downtown Crossing,Boston,1
Fenway/Kenmore,Boston,4
Jamaica Plain,Boston,3
Allston-Brighton,Boston,3
Mission Hill,Boston,4
Coolidge Corner,Boston,4
Mission Hill,Boston,2
Roxbury,Boston,4
Mattapan,Boston,3
South End,Boston,4
Jamaica Plain,Boston,4
Fenway/Kenmore,Boston,1
Fenway/Kenmore,Boston,1
Jamaica Plain,Boston,1
Chinatown,Boston,1
North End,Boston,4
North End,Boston,1
South End,Boston,4
South End,Boston,1
Fenway/Kenmore,Boston,4
Cambridge,Boston,1
Hyde Park,Boston,2
Beacon Hill,Boston,4
Jamaica Plain,Boston,4
Downtown,Boston,4
South End,Boston,3
Jamaica Plain,Boston,1
Allston-Brighton,Boston,4
Dorchester,Boston,1
Allston-Brighton,Boston,4
Back Bay,Boston,4
Mattapan,Boston,3
Dorchester,Boston,4
North End,Boston,4
Fenway/Kenmore,Boston,4
Fenway/Kenmore,Boston,4
Roxbury,Boston,1
South End,Boston,4
South Boston,Boston,4
Theater District,Boston,4
Back Bay,Boston,4
Jamaica Plain,Boston,3
Roxbury,Boston,4
Charlestown,Boston,1
South Boston,Boston,4
South End,Boston,1
East Boston,Boston,4
Beacon Hill,Boston,4
South Boston,Boston,4
Roxbury,Boston,4
South Boston,Boston,4
Dorchester,Boston,3
Roslindale,Boston,3
North End,Boston,1
Back Bay,Boston,4
Back Bay,Boston,4
Back Bay,Boston,4
North End,Boston,4
Charlestown,Boston,1
Mattapan,Boston,3
Jamaica Plain,Boston,1
Fenway/Kenmore,Boston,1
Dorchester,Boston,4
Mattapan,Boston,3
Mission Hill,Boston,1
Roxbury,Boston,1
Jamaica Plain,Boston,4
Allston-Brighton,Boston,4
Jamaica Plain,Boston,3
Winthrop,Boston,4
South Boston,Boston,1
Jamaica Plain,Boston,4
Dorchester,Boston,4
Allston-Brighton,Boston,4
Allston-Brighton,Boston,2
East Boston,Boston,4
Theater District,Boston,4
Beacon Hill,Boston,1
Charlestown,Boston,4
Back Bay,Boston,4
Mission Hill,Boston,4
Financial District,Boston,1
Back Bay,Boston,1
Beacon Hill,Boston,4
South Boston,Boston,1
South Boston,Boston,4
Roxbury,Boston,4
Roxbury,Boston,4
Dorchester,Boston,4
Fenway/Kenmore,Boston,4
North End,Boston,1
South End,Boston,3
Dorchester,Boston,3
South End,Boston,4
Allston-Brighton,Boston,4
Jamaica Plain,Boston,4
East Boston,Boston,4
Dorchester,Boston,1
Back Bay,Boston,4
East Boston,Boston,4
Back Bay,Boston,4
South End,Boston,4
Dorchester,Boston,4
Jamaica Plain,Boston,1
Back Bay,Boston,1
